"terms"	"PA1"	"h2"	"u2"	"com"
"appealing"	0.83	0.69	0.31	1
"artistic"	0.63	0.39	0.61	1
"attractive"	0.87	0.76	0.24	1
"balanced"	0.69	0.48	0.52	1
"beautiful"	0.78	0.6	0.4	1
"clean"	0.6	0.36	0.64	1
"cluttered"	0.18	0.03	0.97	1
"colorHarmonious"	0.63	0.4	0.6	1
"creative"	0.62	0.39	0.61	1
"delightful"	0.81	0.66	0.34	1
"elegant"	0.68	0.46	0.54	1
"engaging"	0.78	0.6	0.4	1
"enjoyable"	0.84	0.7	0.3	1
"exciting"	0.76	0.57	0.43	1
"fascinating"	0.72	0.52	0.48	1
"harmonious"	0.74	0.55	0.45	1
"interesting"	0.71	0.51	0.49	1
"inviting"	0.8	0.64	0.36	1
"likable"	0.84	0.71	0.29	1
"lovely"	0.77	0.59	0.41	1
"motivating"	0.78	0.61	0.39	1
"nice"	0.83	0.69	0.31	1
"organized"	0.59	0.35	0.65	1
"pleasing"	0.87	0.76	0.24	1
"pretty"	0.81	0.66	0.34	1
"professional"	0.53	0.28	0.72	1
"provoking"	0.33	0.11	0.89	1
"satisfying"	0.8	0.65	0.35	1
"sophisticated"	0.62	0.39	0.61	1
"tasteful"	0.78	0.61	0.39	1
"wellDesigned"	0.73	0.53	0.47	1
