"terms"	"PA1"	"PA2"	"h2"	"u2"	"com"
"appealing"	0.62	0.62	19.41	0.23	2
"artistic"	0.25	0.74	19.41	0.4	1.22
"attractive"	0.62	0.64	19.41	0.21	2
"balanced"	0.59	0.23	19.41	0.59	1.3
"beautiful"	0.57	0.67	19.41	0.23	1.95
"clean"	0.78	0.16	19.41	0.37	1.08
"cluttered"	0.34	0.04	19.41	0.88	1.03
"colorHarmonious"	0.38	0.3	19.41	0.77	1.89
"creative"	0.2	0.74	19.41	0.41	1.14
"delightful"	0.63	0.63	19.41	0.21	2
"elegant"	0.72	0.46	19.41	0.28	1.69
"engaging"	0.5	0.66	19.41	0.31	1.85
"enjoyable"	0.6	0.65	19.41	0.22	1.99
"exciting"	0.47	0.68	19.41	0.32	1.79
"fascinating"	0.36	0.79	19.41	0.24	1.38
"harmonious"	0.62	0.43	19.41	0.43	1.77
"interesting"	0.29	0.75	19.41	0.36	1.3
"inviting"	0.6	0.59	19.41	0.3	2
"likable"	0.62	0.65	19.41	0.19	2
"lovely"	0.6	0.58	19.41	0.31	2
"motivating"	0.63	0.55	19.41	0.29	1.97
"nice"	0.62	0.61	19.41	0.24	2
"organized"	0.72	0.06	19.41	0.48	1.02
"pleasing"	0.67	0.6	19.41	0.2	1.97
"pretty"	0.59	0.65	19.41	0.23	1.98
"professional"	0.64	0.2	19.41	0.55	1.19
"provoking"	-0.11	0.39	19.41	0.84	1.16
"satisfying"	0.69	0.59	19.41	0.18	1.95
"sophisticated"	0.58	0.45	19.41	0.46	1.88
"tasteful"	0.6	0.53	19.41	0.36	1.97
"wellDesigned"	0.63	0.34	19.41	0.49	1.55
