"terms"	"PA1"	"PA2"	"h2"	"u2"	"com"
"appealing"	0.73	0.42	0.71	0.29	1.6
"artistic"	0.33	0.51	0.36	0.64	1.7
"attractive"	0.77	0.4	0.75	0.25	1.5
"balanced"	0.37	0.67	0.58	0.42	1.6
"beautiful"	0.71	0.42	0.69	0.31	1.6
"clean"	0.35	0.72	0.64	0.36	1.4
"cluttered"	0.08	-0.02	0.01	0.99	1.2
"colorHarmonious"	0.36	0.56	0.45	0.55	1.7
"creative"	0.32	0.46	0.31	0.69	1.8
"delightful"	0.8	0.36	0.78	0.22	1.4
"elegant"	0.54	0.5	0.55	0.45	2
"engaging"	0.48	0.56	0.55	0.45	2
"enjoyable"	0.78	0.41	0.77	0.23	1.5
"exciting"	0.64	0.41	0.58	0.42	1.7
"fascinating"	0.41	0.6	0.52	0.48	1.8
"harmonious"	0.51	0.56	0.57	0.43	2
"interesting"	0.32	0.52	0.38	0.62	1.7
"inviting"	0.71	0.34	0.62	0.38	1.4
"likable"	0.74	0.48	0.77	0.23	1.7
"lovely"	0.75	0.35	0.69	0.31	1.4
"motivating"	0.64	0.42	0.59	0.41	1.7
"nice"	0.69	0.47	0.69	0.31	1.8
"organized"	0.15	0.79	0.65	0.35	1.1
"pleasing"	0.8	0.38	0.78	0.22	1.4
"pretty"	0.78	0.42	0.78	0.22	1.5
"professional"	0.13	0.81	0.67	0.33	1
"provoking"	0.2	0.1	0.05	0.95	1.5
"satisfying"	0.7	0.43	0.68	0.32	1.7
"sophisticated"	0.43	0.59	0.53	0.47	1.8
"tasteful"	0.59	0.49	0.59	0.41	1.9
"wellDesigned"	0.21	0.76	0.62	0.38	1.1
