"terms"	"PA1"	"h2"	"u2"	"com"
"appealing"	0.85	0.72	0.28	1
"artistic"	0.61	0.37	0.63	1
"attractive"	0.84	0.7	0.3	1
"balanced"	0.7	0.49	0.51	1
"beautiful"	0.81	0.65	0.35	1
"clean"	0.7	0.48	0.52	1
"cluttered"	0.34	0.11	0.89	1
"colorHarmonious"	0.55	0.3	0.7	1
"creative"	0.7	0.48	0.52	1
"delightful"	0.82	0.67	0.33	1
"elegant"	0.69	0.47	0.53	1
"engaging"	0.83	0.69	0.31	1
"enjoyable"	0.87	0.76	0.24	1
"exciting"	0.77	0.59	0.41	1
"fascinating"	0.71	0.5	0.5	1
"harmonious"	0.74	0.55	0.45	1
"interesting"	0.74	0.55	0.45	1
"inviting"	0.85	0.72	0.28	1
"likable"	0.88	0.77	0.23	1
"lovely"	0.81	0.66	0.34	1
"motivating"	0.75	0.56	0.44	1
"nice"	0.87	0.76	0.24	1
"organized"	0.6	0.36	0.64	1
"pleasing"	0.84	0.71	0.29	1
"pretty"	0.79	0.63	0.37	1
"professional"	0.46	0.21	0.79	1
"provoking"	0.37	0.14	0.86	1
"satisfying"	0.8	0.65	0.35	1
"sophisticated"	0.65	0.43	0.57	1
"tasteful"	0.81	0.65	0.35	1
"wellDesigned"	0.71	0.5	0.5	1
