"terms"	"PA1"	"PA2"	"h2"	"u2"	"com"
"appealing"	0.67	0.55	0.75	0.25	1.9
"artistic"	0.69	0.21	0.53	0.47	1.2
"attractive"	0.72	0.49	0.76	0.24	1.8
"balanced"	0.3	0.74	0.64	0.36	1.3
"beautiful"	0.77	0.39	0.75	0.25	1.5
"clean"	0.25	0.78	0.67	0.33	1.2
"cluttered"	0.15	0.41	0.19	0.81	1.3
"colorHarmonious"	0.43	0.47	0.41	0.59	2
"creative"	0.7	0.23	0.54	0.46	1.2
"delightful"	0.63	0.54	0.69	0.31	2
"elegant"	0.46	0.6	0.56	0.44	1.9
"engaging"	0.62	0.48	0.62	0.38	1.9
"enjoyable"	0.71	0.5	0.75	0.25	1.8
"exciting"	0.79	0.35	0.74	0.26	1.4
"fascinating"	0.78	0.18	0.64	0.36	1.1
"harmonious"	0.52	0.65	0.69	0.31	1.9
"interesting"	0.76	0.29	0.66	0.34	1.3
"inviting"	0.54	0.63	0.69	0.31	2
"likable"	0.68	0.54	0.75	0.25	1.9
"lovely"	0.63	0.49	0.64	0.36	1.9
"motivating"	0.63	0.53	0.68	0.32	1.9
"nice"	0.65	0.59	0.76	0.24	2
"organized"	0.17	0.84	0.73	0.27	1.1
"pleasing"	0.64	0.62	0.79	0.21	2
"pretty"	0.7	0.43	0.67	0.33	1.6
"professional"	0.25	0.66	0.49	0.51	1.3
"provoking"	0.3	0.09	0.1	0.9	1.2
"satisfying"	0.66	0.54	0.72	0.28	1.9
"sophisticated"	0.41	0.45	0.37	0.63	2
"tasteful"	0.53	0.56	0.59	0.41	2
"wellDesigned"	0.46	0.7	0.7	0.3	1.7
