"terms"	"PA1"	"h2"	"u2"	"com"
"appealing"	0.88	0.77	0.23	1
"artistic"	0.69	0.47	0.53	1
"attractive"	0.89	0.8	0.2	1
"balanced"	0.59	0.34	0.66	1
"beautiful"	0.87	0.76	0.24	1
"clean"	0.66	0.43	0.57	1
"cluttered"	0.27	0.07	0.93	1
"colorHarmonious"	0.48	0.23	0.77	1
"creative"	0.66	0.43	0.57	1
"delightful"	0.89	0.79	0.21	1
"elegant"	0.83	0.69	0.31	1
"engaging"	0.82	0.67	0.33	1
"enjoyable"	0.88	0.78	0.22	1
"exciting"	0.81	0.66	0.34	1
"fascinating"	0.8	0.65	0.35	1
"harmonious"	0.74	0.55	0.45	1
"interesting"	0.73	0.53	0.47	1
"inviting"	0.84	0.7	0.3	1
"likable"	0.9	0.81	0.19	1
"lovely"	0.83	0.69	0.31	1
"motivating"	0.84	0.71	0.29	1
"nice"	0.87	0.76	0.24	1
"organized"	0.55	0.3	0.7	1
"pleasing"	0.9	0.8	0.2	1
"pretty"	0.88	0.77	0.23	1
"professional"	0.6	0.36	0.64	1
"provoking"	0.19	0.04	0.96	1
"satisfying"	0.9	0.81	0.19	1
"sophisticated"	0.73	0.53	0.47	1
"tasteful"	0.8	0.64	0.36	1
"wellDesigned"	0.69	0.47	0.53	1
