"terms"	"PA1"	"PA2"	"h2"	"u2"	"com"
"appealing"	0.61	0.27	18.16	0.31	1.37
"artistic"	1.02	-0.4	18.16	0.37	1.3
"attractive"	0.69	0.24	18.16	0.24	1.24
"balanced"	0.08	0.72	18.16	0.4	1.02
"beautiful"	0.77	0.04	18.16	0.36	1.01
"clean"	-0.21	0.93	18.16	0.36	1.1
"cluttered"	-0.04	0.25	18.16	0.95	1.05
"colorHarmonious"	0.43	0.25	18.16	0.61	1.61
"creative"	0.92	-0.3	18.16	0.45	1.21
"delightful"	0.61	0.25	18.16	0.34	1.34
"elegant"	0.15	0.61	18.16	0.47	1.12
"engaging"	0.66	0.16	18.16	0.39	1.12
"enjoyable"	0.67	0.22	18.16	0.29	1.2
"exciting"	0.85	-0.07	18.16	0.35	1.01
"fascinating"	0.89	-0.16	18.16	0.38	1.06
"harmonious"	0.26	0.57	18.16	0.4	1.41
"interesting"	0.7	0.04	18.16	0.46	1.01
"inviting"	0.41	0.46	18.16	0.35	1.98
"likable"	0.74	0.15	18.16	0.28	1.08
"lovely"	0.77	0.03	18.16	0.37	1
"motivating"	0.48	0.37	18.16	0.39	1.89
"nice"	0.58	0.31	18.16	0.31	1.55
"organized"	-0.26	0.97	18.16	0.34	1.14
"pleasing"	0.65	0.29	18.16	0.24	1.38
"pretty"	0.79	0.06	18.16	0.31	1.01
"professional"	-0.16	0.79	18.16	0.53	1.08
"provoking"	0.36	-0.02	18.16	0.88	1.01
"satisfying"	0.52	0.34	18.16	0.36	1.73
"sophisticated"	0.29	0.39	18.16	0.6	1.85
"tasteful"	0.48	0.37	18.16	0.39	1.87
"wellDesigned"	0.08	0.75	18.16	0.34	1.02
