"terms"	"PA1"	"PA2"	"h2"	"u2"	"com"
"appealing"	0.52	0.37	16.86	0.36	1.8
"artistic"	-0.22	0.8	16.86	0.53	1.15
"attractive"	0.47	0.38	16.86	0.4	1.92
"balanced"	0.82	-0.15	16.86	0.45	1.06
"beautiful"	0.28	0.57	16.86	0.39	1.46
"clean"	0.86	-0.1	16.86	0.37	1.03
"cluttered"	-0.56	0.22	16.86	0.79	1.29
"colorHarmonious"	0.76	-0.12	16.86	0.53	1.05
"creative"	-0.2	0.78	16.86	0.55	1.14
"delightful"	0.2	0.63	16.86	0.39	1.21
"elegant"	0.38	0.46	16.86	0.42	1.93
"engaging"	0.23	0.55	16.86	0.48	1.33
"enjoyable"	0.49	0.37	16.86	0.39	1.87
"exciting"	-0.1	0.87	16.86	0.34	1.02
"fascinating"	-0.06	0.81	16.86	0.41	1.01
"harmonious"	0.7	0.05	16.86	0.46	1.01
"interesting"	0.36	0.42	16.86	0.5	1.94
"inviting"	0.22	0.61	16.86	0.41	1.26
"likable"	0.7	0.15	16.86	0.34	1.1
"lovely"	0.32	0.52	16.86	0.42	1.66
"motivating"	0.03	0.72	16.86	0.46	1
"nice"	0.75	0.13	16.86	0.3	1.06
"organized"	0.94	-0.28	16.86	0.37	1.18
"pleasing"	0.61	0.27	16.86	0.35	1.36
"pretty"	0.42	0.42	16.86	0.43	2
"professional"	0.84	-0.12	16.86	0.4	1.04
"provoking"	-0.23	0.47	16.86	0.86	1.45
"satisfying"	0.56	0.25	16.86	0.45	1.39
"sophisticated"	0.11	0.6	16.86	0.55	1.07
"tasteful"	0.56	0.14	16.86	0.57	1.12
"wellDesigned"	0.69	0.08	16.86	0.45	1.03
