"terms"	"PA1"	"PA2"	"h2"	"u2"	"com"
"appealing"	0.67	0.49	18.16	0.31	1.83
"artistic"	0.79	0.02	18.16	0.37	1
"attractive"	0.72	0.48	18.16	0.24	1.75
"balanced"	0.34	0.69	18.16	0.4	1.47
"beautiful"	0.72	0.33	18.16	0.36	1.41
"clean"	0.16	0.78	18.16	0.36	1.09
"cluttered"	0.06	0.22	18.16	0.95	1.14
"colorHarmonious"	0.49	0.4	18.16	0.61	1.92
"creative"	0.74	0.08	18.16	0.45	1.02
"delightful"	0.66	0.47	18.16	0.34	1.81
"elegant"	0.37	0.62	18.16	0.47	1.63
"engaging"	0.67	0.4	18.16	0.39	1.64
"enjoyable"	0.7	0.46	18.16	0.29	1.72
"exciting"	0.76	0.26	18.16	0.35	1.24
"fascinating"	0.76	0.2	18.16	0.38	1.14
"harmonious"	0.46	0.62	18.16	0.4	1.83
"interesting"	0.66	0.31	18.16	0.46	1.41
"inviting"	0.56	0.58	18.16	0.35	2
"likable"	0.74	0.42	18.16	0.28	1.59
"lovely"	0.72	0.32	18.16	0.37	1.39
"motivating"	0.58	0.53	18.16	0.39	1.98
"nice"	0.65	0.51	18.16	0.31	1.9
"organized"	0.13	0.8	18.16	0.34	1.05
"pleasing"	0.71	0.51	18.16	0.24	1.83
"pretty"	0.75	0.36	18.16	0.31	1.44
"professional"	0.15	0.67	18.16	0.53	1.1
"provoking"	0.32	0.12	18.16	0.88	1.27
"satisfying"	0.61	0.52	18.16	0.36	1.95
"sophisticated"	0.42	0.48	18.16	0.6	1.97
"tasteful"	0.58	0.52	18.16	0.39	1.98
"wellDesigned"	0.36	0.73	18.16	0.34	1.47
