"terms"	"PA1"	"PA2"	"h2"	"u2"	"com"
"appealing"	0.76	0.4	0.74	0.26	1.5
"artistic"	0.65	0.15	0.45	0.55	1.1
"attractive"	0.74	0.4	0.72	0.28	1.5
"balanced"	0.37	0.69	0.61	0.39	1.5
"beautiful"	0.64	0.49	0.65	0.35	1.9
"clean"	0.37	0.68	0.6	0.4	1.5
"cluttered"	0.18	0.32	0.13	0.87	1.6
"colorHarmonious"	0.43	0.34	0.3	0.7	1.9
"creative"	0.71	0.22	0.55	0.45	1.2
"delightful"	0.7	0.43	0.67	0.33	1.7
"elegant"	0.33	0.72	0.63	0.37	1.4
"engaging"	0.79	0.34	0.73	0.27	1.4
"enjoyable"	0.79	0.39	0.78	0.22	1.5
"exciting"	0.77	0.25	0.66	0.34	1.2
"fascinating"	0.64	0.33	0.51	0.49	1.5
"harmonious"	0.47	0.61	0.6	0.4	1.9
"interesting"	0.7	0.3	0.58	0.42	1.4
"inviting"	0.76	0.4	0.74	0.26	1.5
"likable"	0.76	0.45	0.78	0.22	1.6
"lovely"	0.72	0.39	0.67	0.33	1.6
"motivating"	0.62	0.41	0.56	0.44	1.7
"nice"	0.72	0.48	0.76	0.24	1.8
"organized"	0.23	0.71	0.55	0.45	1.2
"pleasing"	0.71	0.45	0.72	0.28	1.7
"pretty"	0.7	0.39	0.64	0.36	1.6
"professional"	0.05	0.71	0.51	0.49	1
"provoking"	0.43	0.04	0.19	0.81	1
"satisfying"	0.67	0.44	0.65	0.35	1.7
"sophisticated"	0.41	0.54	0.47	0.53	1.9
"tasteful"	0.65	0.48	0.65	0.35	1.9
"wellDesigned"	0.33	0.76	0.68	0.32	1.4
