"terms"	"PA1"	"PA2"	"h2"	"u2"	"com"
"appealing"	0.47	0.48	19.41	0.23	2
"artistic"	-0.07	0.83	19.41	0.4	1.02
"attractive"	0.46	0.51	19.41	0.21	1.98
"balanced"	0.65	-0.01	19.41	0.59	1
"beautiful"	0.38	0.57	19.41	0.23	1.74
"clean"	0.92	-0.21	19.41	0.37	1.1
"cluttered"	0.42	-0.13	19.41	0.88	1.18
"colorHarmonious"	0.33	0.18	19.41	0.77	1.57
"creative"	-0.14	0.86	19.41	0.41	1.05
"delightful"	0.48	0.48	19.41	0.21	2
"elegant"	0.69	0.21	19.41	0.28	1.19
"engaging"	0.29	0.6	19.41	0.31	1.44
"enjoyable"	0.43	0.53	19.41	0.22	1.92
"exciting"	0.25	0.63	19.41	0.32	1.31
"fascinating"	0.04	0.84	19.41	0.24	1
"harmonious"	0.58	0.22	19.41	0.43	1.3
"interesting"	-0.02	0.82	19.41	0.36	1
"inviting"	0.46	0.45	19.41	0.3	2
"likable"	0.46	0.51	19.41	0.19	1.98
"lovely"	0.46	0.44	19.41	0.31	1.99
"motivating"	0.52	0.39	19.41	0.29	1.84
"nice"	0.47	0.47	19.41	0.24	2
"organized"	0.89	-0.29	19.41	0.48	1.21
"pleasing"	0.55	0.42	19.41	0.2	1.87
"pretty"	0.42	0.54	19.41	0.23	1.89
"professional"	0.73	-0.08	19.41	0.55	1.02
"provoking"	-0.35	0.56	19.41	0.84	1.67
"satisfying"	0.58	0.4	19.41	0.18	1.77
"sophisticated"	0.51	0.27	19.41	0.46	1.53
"tasteful"	0.5	0.37	19.41	0.36	1.84
"wellDesigned"	0.63	0.11	19.41	0.49	1.06
