"terms"	"PA1"	"PA2"	"h2"	"u2"	"com"
"appealing"	0.75	0.41	0.73	0.27	1.6
"artistic"	0.67	0.1	0.46	0.54	1
"attractive"	0.77	0.33	0.71	0.29	1.4
"balanced"	0.38	0.72	0.65	0.35	1.5
"beautiful"	0.78	0.29	0.7	0.3	1.3
"clean"	0.27	0.7	0.57	0.43	1.3
"cluttered"	-0.01	0.26	0.07	0.93	1
"colorHarmonious"	0.53	0.35	0.41	0.59	1.7
"creative"	0.65	0.15	0.44	0.56	1.1
"delightful"	0.64	0.55	0.71	0.29	2
"elegant"	0.53	0.58	0.62	0.38	2
"engaging"	0.53	0.53	0.56	0.44	2
"enjoyable"	0.74	0.45	0.75	0.25	1.7
"exciting"	0.67	0.38	0.6	0.4	1.6
"fascinating"	0.74	0.3	0.64	0.36	1.3
"harmonious"	0.45	0.63	0.61	0.39	1.8
"interesting"	0.64	0.38	0.55	0.45	1.6
"inviting"	0.52	0.53	0.54	0.46	2
"likable"	0.7	0.51	0.75	0.25	1.8
"lovely"	0.67	0.48	0.67	0.33	1.8
"motivating"	0.5	0.61	0.62	0.38	1.9
"nice"	0.73	0.4	0.7	0.3	1.6
"organized"	0.32	0.79	0.73	0.27	1.3
"pleasing"	0.73	0.49	0.78	0.22	1.7
"pretty"	0.79	0.26	0.69	0.31	1.2
"professional"	0.24	0.69	0.53	0.47	1.2
"provoking"	0.31	0.06	0.1	0.9	1.1
"satisfying"	0.61	0.58	0.7	0.3	2
"sophisticated"	0.46	0.44	0.41	0.59	2
"tasteful"	0.58	0.43	0.52	0.48	1.9
"wellDesigned"	0.51	0.6	0.61	0.39	2
