"terms"	"PA1"	"h2"	"u2"	"com"
"appealing"	0.87	0.75	0.25	1
"artistic"	0.66	0.43	0.57	1
"attractive"	0.86	0.74	0.26	1
"balanced"	0.71	0.51	0.49	1
"beautiful"	0.84	0.7	0.3	1
"clean"	0.7	0.49	0.51	1
"cluttered"	0.39	0.15	0.85	1
"colorHarmonious"	0.64	0.41	0.59	1
"creative"	0.67	0.45	0.55	1
"delightful"	0.83	0.69	0.31	1
"elegant"	0.74	0.54	0.46	1
"engaging"	0.78	0.61	0.39	1
"enjoyable"	0.86	0.75	0.25	1
"exciting"	0.81	0.66	0.34	1
"fascinating"	0.7	0.49	0.51	1
"harmonious"	0.82	0.67	0.33	1
"interesting"	0.76	0.58	0.42	1
"inviting"	0.82	0.68	0.32	1
"likable"	0.86	0.75	0.25	1
"lovely"	0.8	0.64	0.36	1
"motivating"	0.83	0.69	0.31	1
"nice"	0.87	0.77	0.23	1
"organized"	0.67	0.45	0.55	1
"pleasing"	0.89	0.79	0.21	1
"pretty"	0.81	0.65	0.35	1
"professional"	0.62	0.38	0.62	1
"provoking"	0.28	0.08	0.92	1
"satisfying"	0.85	0.72	0.28	1
"sophisticated"	0.61	0.37	0.63	1
"tasteful"	0.77	0.59	0.41	1
"wellDesigned"	0.81	0.66	0.34	1
