"terms"	"PA1"	"PA2"	"h2"	"u2"	"com"
"appealing"	0.76	0.13	0.73	0.27	1.1
"artistic"	0.84	-0.25	0.46	0.54	1.2
"attractive"	0.84	0	0.71	0.29	1
"balanced"	0.09	0.74	0.65	0.35	1
"beautiful"	0.88	-0.07	0.7	0.3	1
"clean"	-0.04	0.79	0.57	0.43	1
"cluttered"	-0.17	0.35	0.07	0.93	1.4
"colorHarmonious"	0.51	0.16	0.41	0.59	1.2
"creative"	0.78	-0.17	0.44	0.56	1.1
"delightful"	0.55	0.36	0.71	0.29	1.7
"elegant"	0.37	0.47	0.62	0.38	1.9
"engaging"	0.41	0.4	0.56	0.44	2
"enjoyable"	0.73	0.18	0.75	0.25	1.1
"exciting"	0.68	0.12	0.6	0.4	1.1
"fascinating"	0.82	-0.02	0.64	0.36	1
"harmonious"	0.24	0.58	0.61	0.39	1.3
"interesting"	0.64	0.14	0.55	0.45	1.1
"inviting"	0.39	0.41	0.54	0.46	2
"likable"	0.64	0.28	0.75	0.25	1.4
"lovely"	0.62	0.25	0.67	0.33	1.3
"motivating"	0.31	0.53	0.62	0.38	1.6
"nice"	0.75	0.12	0.7	0.3	1
"organized"	-0.03	0.88	0.73	0.27	1
"pleasing"	0.7	0.23	0.78	0.22	1.2
"pretty"	0.9	-0.1	0.69	0.31	1
"professional"	-0.07	0.78	0.53	0.47	1
"provoking"	0.38	-0.09	0.1	0.9	1.1
"satisfying"	0.48	0.42	0.7	0.3	2
"sophisticated"	0.36	0.33	0.41	0.59	2
"tasteful"	0.52	0.24	0.52	0.48	1.4
"wellDesigned"	0.33	0.51	0.61	0.39	1.7
