"terms"	"PA1"	"PA2"	"h2"	"u2"	"com"
"appealing"	0.62	0.33	0.77	0.23	1.5
"artistic"	1.01	-0.34	0.7	0.3	1.2
"attractive"	0.64	0.3	0.76	0.24	1.4
"balanced"	0.16	0.62	0.54	0.46	1.1
"beautiful"	0.74	0.17	0.74	0.26	1.1
"clean"	0.13	0.72	0.65	0.35	1.1
"cluttered"	0.21	-0.3	0.05	0.95	1.8
"colorHarmonious"	0.49	0.18	0.38	0.62	1.3
"creative"	0.9	-0.27	0.57	0.43	1.2
"delightful"	0.74	0.19	0.77	0.23	1.1
"elegant"	0.51	0.38	0.65	0.35	1.9
"engaging"	0.6	0.22	0.59	0.41	1.3
"enjoyable"	0.69	0.26	0.77	0.23	1.3
"exciting"	0.74	0.07	0.62	0.38	1
"fascinating"	0.79	0.02	0.64	0.36	1
"harmonious"	0.47	0.42	0.65	0.35	2
"interesting"	0.71	0.05	0.56	0.44	1
"inviting"	0.54	0.3	0.6	0.4	1.6
"likable"	0.7	0.26	0.79	0.21	1.3
"lovely"	0.7	0.22	0.74	0.26	1.2
"motivating"	0.57	0.19	0.51	0.49	1.2
"nice"	0.69	0.19	0.68	0.32	1.1
"organized"	-0.04	0.87	0.7	0.3	1
"pleasing"	0.7	0.25	0.78	0.22	1.2
"pretty"	0.77	0.13	0.74	0.26	1
"professional"	0.08	0.74	0.62	0.38	1
"provoking"	0.52	-0.22	0.17	0.83	1.3
"satisfying"	0.63	0.32	0.76	0.24	1.5
"sophisticated"	0.52	0.3	0.56	0.44	1.6
"tasteful"	0.53	0.3	0.58	0.42	1.6
"wellDesigned"	0.43	0.49	0.69	0.31	2
