"terms"	"PA1"	"PA2"	"h2"	"u2"	"com"
"appealing"	0.73	0.15	0.71	0.29	1.1
"artistic"	0.16	0.48	0.36	0.64	1.2
"attractive"	0.79	0.1	0.75	0.25	1
"balanced"	0.12	0.67	0.58	0.42	1.1
"beautiful"	0.71	0.16	0.69	0.31	1.1
"clean"	0.07	0.75	0.64	0.36	1
"cluttered"	0.12	-0.07	0.01	0.99	1.7
"colorHarmonious"	0.17	0.54	0.45	0.55	1.2
"creative"	0.17	0.42	0.31	0.69	1.3
"delightful"	0.86	0.03	0.78	0.22	1
"elegant"	0.44	0.35	0.55	0.45	1.9
"engaging"	0.34	0.46	0.55	0.45	1.8
"enjoyable"	0.81	0.1	0.77	0.23	1
"exciting"	0.62	0.18	0.58	0.42	1.2
"fascinating"	0.22	0.55	0.52	0.48	1.3
"harmonious"	0.38	0.44	0.57	0.43	2
"interesting"	0.15	0.5	0.38	0.62	1.2
"inviting"	0.76	0.05	0.62	0.38	1
"likable"	0.71	0.22	0.77	0.23	1.2
"lovely"	0.8	0.05	0.69	0.31	1
"motivating"	0.62	0.2	0.59	0.41	1.2
"nice"	0.65	0.23	0.69	0.31	1.2
"organized"	-0.23	0.95	0.65	0.35	1.1
"pleasing"	0.84	0.05	0.78	0.22	1
"pretty"	0.8	0.12	0.78	0.22	1
"professional"	-0.26	0.98	0.67	0.33	1.1
"provoking"	0.21	0.02	0.05	0.95	1
"satisfying"	0.69	0.18	0.68	0.32	1.1
"sophisticated"	0.25	0.53	0.53	0.47	1.4
"tasteful"	0.51	0.32	0.59	0.41	1.7
"wellDesigned"	-0.13	0.87	0.62	0.38	1
