"terms"	"PA1"	"PA2"	"h2"	"u2"	"com"
"appealing"	0.79	0.09	0.74	0.26	1
"artistic"	0.78	-0.17	0.45	0.55	1.1
"attractive"	0.76	0.11	0.72	0.28	1
"balanced"	0.11	0.7	0.61	0.39	1
"beautiful"	0.58	0.29	0.65	0.35	1.5
"clean"	0.1	0.7	0.6	0.4	1
"cluttered"	0.06	0.32	0.13	0.87	1.1
"colorHarmonious"	0.39	0.2	0.3	0.7	1.5
"creative"	0.82	-0.11	0.55	0.45	1
"delightful"	0.69	0.17	0.67	0.33	1.1
"elegant"	0.03	0.78	0.63	0.37	1
"engaging"	0.86	0	0.73	0.27	1
"enjoyable"	0.83	0.07	0.78	0.22	1
"exciting"	0.89	-0.11	0.66	0.34	1
"fascinating"	0.66	0.08	0.51	0.49	1
"harmonious"	0.28	0.55	0.6	0.4	1.5
"interesting"	0.77	0	0.58	0.42	1
"inviting"	0.79	0.09	0.74	0.26	1
"likable"	0.75	0.17	0.78	0.22	1.1
"lovely"	0.73	0.12	0.67	0.33	1
"motivating"	0.59	0.2	0.56	0.44	1.2
"nice"	0.69	0.23	0.76	0.24	1.2
"organized"	-0.09	0.81	0.55	0.45	1
"pleasing"	0.7	0.19	0.72	0.28	1.1
"pretty"	0.71	0.11	0.64	0.36	1
"professional"	-0.33	0.91	0.51	0.49	1.3
"provoking"	0.55	-0.19	0.19	0.81	1.2
"satisfying"	0.64	0.21	0.65	0.35	1.2
"sophisticated"	0.24	0.49	0.47	0.53	1.5
"tasteful"	0.59	0.27	0.65	0.35	1.4
"wellDesigned"	0.01	0.82	0.68	0.32	1
