"terms"	"PA1"	"PA2"	"h2"	"u2"	"com"
"appealing"	0.61	0.59	18.6	0.28	2
"artistic"	0.16	0.61	18.6	0.6	1.14
"attractive"	0.6	0.59	18.6	0.29	2
"balanced"	0.78	0.17	18.6	0.37	1.1
"beautiful"	0.6	0.59	18.6	0.29	2
"clean"	0.79	0.2	18.6	0.33	1.12
"cluttered"	0.35	0.05	18.6	0.87	1.05
"colorHarmonious"	0.52	0.4	18.6	0.57	1.87
"creative"	0.17	0.62	18.6	0.58	1.15
"delightful"	0.64	0.56	18.6	0.27	1.97
"elegant"	0.68	0.48	18.6	0.3	1.8
"engaging"	0.58	0.54	18.6	0.38	1.99
"enjoyable"	0.61	0.63	18.6	0.23	2
"exciting"	0.47	0.67	18.6	0.33	1.78
"fascinating"	0.3	0.69	18.6	0.43	1.38
"harmonious"	0.69	0.41	18.6	0.36	1.63
"interesting"	0.28	0.76	18.6	0.34	1.27
"inviting"	0.68	0.48	18.6	0.3	1.8
"likable"	0.66	0.62	18.6	0.18	1.99
"lovely"	0.63	0.57	18.6	0.29	1.98
"motivating"	0.6	0.43	18.6	0.45	1.81
"nice"	0.68	0.59	18.6	0.18	1.96
"organized"	0.72	0.07	18.6	0.47	1.02
"pleasing"	0.61	0.6	18.6	0.28	2
"pretty"	0.6	0.6	18.6	0.28	2
"professional"	0.67	0.2	18.6	0.52	1.17
"provoking"	-0.01	0.27	18.6	0.93	1
"satisfying"	0.54	0.55	18.6	0.4	2
"sophisticated"	0.55	0.41	18.6	0.53	1.86
"tasteful"	0.61	0.49	18.6	0.39	1.91
"wellDesigned"	0.69	0.37	18.6	0.39	1.52
