"terms"	"PA1"	"PA2"	"h2"	"u2"	"com"
"appealing"	0.57	0.37	0.78	0.22	1.7
"artistic"	0.96	-0.41	0.51	0.49	1.3
"attractive"	0.58	0.33	0.73	0.27	1.6
"balanced"	-0.14	0.91	0.65	0.35	1
"beautiful"	0.72	0.1	0.64	0.36	1
"clean"	-0.15	0.85	0.56	0.44	1.1
"cluttered"	-0.03	0.16	0.02	0.98	1
"colorHarmonious"	0.25	0.2	0.18	0.82	1.9
"creative"	0.82	-0.23	0.44	0.56	1.2
"delightful"	0.56	0.39	0.79	0.21	1.8
"elegant"	0.43	0.41	0.62	0.38	2
"engaging"	0.53	0.32	0.64	0.36	1.6
"enjoyable"	0.59	0.29	0.7	0.3	1.5
"exciting"	0.78	0.04	0.66	0.34	1
"fascinating"	0.84	-0.05	0.64	0.36	1
"harmonious"	0.15	0.69	0.65	0.35	1.1
"interesting"	0.77	0	0.59	0.41	1
"inviting"	0.37	0.53	0.72	0.28	1.8
"likable"	0.53	0.4	0.76	0.24	1.9
"lovely"	0.74	0.13	0.71	0.29	1.1
"motivating"	0.55	0.33	0.69	0.31	1.6
"nice"	0.67	0.27	0.8	0.2	1.3
"organized"	-0.22	0.96	0.66	0.34	1.1
"pleasing"	0.65	0.27	0.76	0.24	1.3
"pretty"	0.88	-0.02	0.75	0.25	1
"professional"	0.03	0.71	0.54	0.46	1
"provoking"	0.21	0.02	0.05	0.95	1
"satisfying"	0.6	0.31	0.73	0.27	1.5
"sophisticated"	0.53	0.22	0.5	0.5	1.3
"tasteful"	0.47	0.4	0.66	0.34	1.9
"wellDesigned"	0.13	0.76	0.74	0.26	1.1
