"terms"	"PA1"	"h2"	"u2"	"com"
"appealing"	0.8	0.64	0.36	1
"artistic"	0.51	0.26	0.74	1
"attractive"	0.81	0.66	0.34	1
"balanced"	0.61	0.38	0.62	1
"beautiful"	0.76	0.58	0.42	1
"clean"	0.71	0.51	0.49	1
"cluttered"	0.03	0	1	1
"colorHarmonious"	0.63	0.4	0.6	1
"creative"	0.55	0.31	0.69	1
"delightful"	0.78	0.6	0.4	1
"elegant"	0.71	0.5	0.5	1
"engaging"	0.76	0.58	0.42	1
"enjoyable"	0.83	0.7	0.3	1
"exciting"	0.72	0.53	0.47	1
"fascinating"	0.73	0.54	0.46	1
"harmonious"	0.76	0.58	0.42	1
"interesting"	0.71	0.5	0.5	1
"inviting"	0.71	0.51	0.49	1
"likable"	0.88	0.77	0.23	1
"lovely"	0.78	0.6	0.4	1
"motivating"	0.71	0.51	0.49	1
"nice"	0.81	0.65	0.35	1
"organized"	0.62	0.38	0.62	1
"pleasing"	0.84	0.7	0.3	1
"pretty"	0.77	0.6	0.4	1
"professional"	0.52	0.27	0.73	1
"provoking"	0.22	0.05	0.95	1
"satisfying"	0.77	0.59	0.41	1
"sophisticated"	0.62	0.39	0.61	1
"tasteful"	0.68	0.47	0.53	1
"wellDesigned"	0.67	0.45	0.55	1
