"terms"	"PA1"	"PA2"	"h2"	"u2"	"com"
"appealing"	0.69	0.53	0.77	0.23	1.9
"artistic"	0.84	0.04	0.7	0.3	1
"attractive"	0.7	0.51	0.76	0.24	1.8
"balanced"	0.36	0.64	0.54	0.46	1.6
"beautiful"	0.75	0.42	0.74	0.26	1.6
"clean"	0.36	0.72	0.65	0.35	1.5
"cluttered"	0.09	-0.21	0.05	0.95	1.4
"colorHarmonious"	0.52	0.34	0.38	0.62	1.7
"creative"	0.75	0.06	0.57	0.43	1
"delightful"	0.76	0.44	0.77	0.23	1.6
"elegant"	0.6	0.54	0.65	0.35	2
"engaging"	0.64	0.42	0.59	0.41	1.7
"enjoyable"	0.73	0.49	0.77	0.23	1.7
"exciting"	0.71	0.33	0.62	0.38	1.4
"fascinating"	0.74	0.29	0.64	0.36	1.3
"harmonious"	0.58	0.56	0.65	0.35	2
"interesting"	0.68	0.3	0.56	0.44	1.4
"inviting"	0.61	0.48	0.6	0.4	1.9
"likable"	0.74	0.49	0.79	0.21	1.7
"lovely"	0.73	0.46	0.74	0.26	1.7
"motivating"	0.6	0.39	0.51	0.49	1.7
"nice"	0.71	0.42	0.68	0.32	1.6
"organized"	0.25	0.8	0.7	0.3	1.2
"pleasing"	0.74	0.48	0.78	0.22	1.7
"pretty"	0.76	0.39	0.74	0.26	1.5
"professional"	0.32	0.72	0.62	0.38	1.4
"provoking"	0.42	-0.02	0.17	0.83	1
"satisfying"	0.7	0.52	0.76	0.24	1.9
"sophisticated"	0.59	0.47	0.56	0.44	1.9
"tasteful"	0.59	0.47	0.58	0.42	1.9
"wellDesigned"	0.57	0.61	0.69	0.31	2
