"terms"	"PA1"	"PA2"	"h2"	"u2"	"com"
"appealing"	0.59	0.31	17.15	0.28	1.52
"artistic"	0.97	-0.4	17.15	0.46	1.33
"attractive"	0.76	0.13	17.15	0.26	1.06
"balanced"	0.01	0.72	17.15	0.47	1
"beautiful"	0.71	0.09	17.15	0.4	1.03
"clean"	-0.25	0.95	17.15	0.37	1.14
"cluttered"	0.09	0.36	17.15	0.82	1.12
"colorHarmonious"	0.21	0.26	17.15	0.81	1.92
"creative"	0.85	-0.2	17.15	0.49	1.12
"delightful"	0.64	0.2	17.15	0.37	1.18
"elegant"	0.26	0.52	17.15	0.47	1.46
"engaging"	0.61	0.18	17.15	0.45	1.17
"enjoyable"	0.62	0.28	17.15	0.29	1.38
"exciting"	0.75	-0.02	17.15	0.46	1
"fascinating"	0.74	0.01	17.15	0.44	1
"harmonious"	0.13	0.64	17.15	0.45	1.08
"interesting"	0.61	0.03	17.15	0.6	1
"inviting"	0.6	0.23	17.15	0.38	1.3
"likable"	0.6	0.3	17.15	0.29	1.49
"lovely"	0.64	0.14	17.15	0.44	1.09
"motivating"	0.58	0.22	17.15	0.43	1.29
"nice"	0.57	0.3	17.15	0.34	1.52
"organized"	-0.15	0.83	17.15	0.47	1.07
"pleasing"	0.47	0.4	17.15	0.35	1.96
"pretty"	0.82	-0.03	17.15	0.35	1
"professional"	-0.34	0.94	17.15	0.46	1.26
"provoking"	0.42	-0.1	17.15	0.87	1.11
"satisfying"	0.4	0.49	17.15	0.31	1.92
"sophisticated"	0.22	0.5	17.15	0.54	1.38
"tasteful"	0.38	0.5	17.15	0.34	1.87
"wellDesigned"	0.12	0.69	17.15	0.39	1.06
