"terms"	"PA1"	"PA2"	"h2"	"u2"	"com"
"appealing"	0.5	0.41	0.72	0.28	1.9
"artistic"	0.82	-0.13	0.53	0.47	1
"attractive"	0.64	0.26	0.73	0.27	1.3
"balanced"	0.03	0.78	0.63	0.37	1
"beautiful"	0.54	0.37	0.72	0.28	1.8
"clean"	-0.19	0.97	0.71	0.29	1.1
"cluttered"	-0.07	0.3	0.06	0.94	1.1
"colorHarmonious"	0.37	0.18	0.26	0.74	1.4
"creative"	0.89	-0.19	0.58	0.42	1.1
"delightful"	0.51	0.41	0.74	0.26	1.9
"elegant"	0.06	0.76	0.65	0.35	1
"engaging"	0.75	0.1	0.68	0.32	1
"enjoyable"	0.6	0.31	0.73	0.27	1.5
"exciting"	0.84	0.04	0.76	0.24	1
"fascinating"	0.81	-0.03	0.62	0.38	1
"harmonious"	0.29	0.54	0.61	0.39	1.5
"interesting"	0.89	-0.14	0.63	0.37	1
"inviting"	0.38	0.52	0.7	0.3	1.8
"likable"	0.48	0.43	0.72	0.28	2
"lovely"	0.5	0.42	0.73	0.27	1.9
"motivating"	0.41	0.43	0.61	0.39	2
"nice"	0.53	0.37	0.71	0.29	1.8
"organized"	-0.2	0.91	0.6	0.4	1.1
"pleasing"	0.46	0.47	0.75	0.25	2
"pretty"	0.66	0.23	0.72	0.28	1.2
"professional"	-0.22	0.8	0.43	0.57	1.2
"provoking"	0.73	-0.31	0.3	0.7	1.3
"satisfying"	0.38	0.54	0.74	0.26	1.8
"sophisticated"	0.07	0.62	0.45	0.55	1
"tasteful"	0.4	0.48	0.67	0.33	2
"wellDesigned"	0.09	0.74	0.64	0.36	1
