"terms"	"PA1"	"PA2"	"h2"	"u2"	"com"
"appealing"	0.36	0.58	0.79	0.21	1.7
"artistic"	-0.12	0.85	0.59	0.41	1
"attractive"	0.34	0.58	0.75	0.25	1.6
"balanced"	0.77	0.04	0.65	0.35	1
"beautiful"	0.34	0.54	0.69	0.31	1.7
"clean"	0.92	-0.21	0.6	0.4	1.1
"cluttered"	0.55	-0.09	0.24	0.76	1
"colorHarmonious"	0.46	0.19	0.38	0.62	1.3
"creative"	0.02	0.72	0.54	0.46	1
"delightful"	0.51	0.36	0.67	0.33	1.8
"elegant"	0.62	0.28	0.71	0.29	1.4
"engaging"	0.43	0.38	0.58	0.42	2
"enjoyable"	0.38	0.55	0.76	0.24	1.8
"exciting"	0.11	0.72	0.65	0.35	1
"fascinating"	0.05	0.67	0.5	0.5	1
"harmonious"	0.64	0.2	0.65	0.35	1.2
"interesting"	0.03	0.67	0.48	0.52	1
"inviting"	0.68	0.14	0.64	0.36	1.1
"likable"	0.45	0.47	0.74	0.26	2
"lovely"	0.58	0.28	0.66	0.34	1.4
"motivating"	0.52	0.3	0.6	0.4	1.6
"nice"	0.57	0.33	0.72	0.28	1.6
"organized"	0.99	-0.31	0.62	0.38	1.2
"pleasing"	0.49	0.44	0.77	0.23	2
"pretty"	0.22	0.65	0.68	0.32	1.2
"professional"	0.7	-0.06	0.43	0.57	1
"provoking"	-0.27	0.58	0.17	0.83	1.4
"satisfying"	0.44	0.46	0.72	0.28	2
"sophisticated"	0.54	0.13	0.41	0.59	1.1
"tasteful"	0.54	0.31	0.64	0.36	1.6
"wellDesigned"	0.85	-0.07	0.63	0.37	1
