"terms"	"PA1"	"h2"	"u2"	"com"
"appealing"	0.9	0.81	0.19	1
"artistic"	0.67	0.44	0.56	1
"attractive"	0.85	0.72	0.28	1
"balanced"	0.74	0.54	0.46	1
"beautiful"	0.84	0.7	0.3	1
"clean"	0.67	0.45	0.55	1
"cluttered"	0.24	0.06	0.94	1
"colorHarmonious"	0.64	0.41	0.59	1
"creative"	0.65	0.42	0.58	1
"delightful"	0.88	0.78	0.22	1
"elegant"	0.8	0.63	0.37	1
"engaging"	0.8	0.65	0.35	1
"enjoyable"	0.89	0.79	0.21	1
"exciting"	0.79	0.62	0.38	1
"fascinating"	0.71	0.5	0.5	1
"harmonious"	0.81	0.65	0.35	1
"interesting"	0.74	0.54	0.46	1
"inviting"	0.83	0.69	0.31	1
"likable"	0.89	0.79	0.21	1
"lovely"	0.83	0.68	0.32	1
"motivating"	0.77	0.59	0.41	1
"nice"	0.89	0.8	0.2	1
"organized"	0.65	0.43	0.57	1
"pleasing"	0.88	0.77	0.23	1
"pretty"	0.85	0.73	0.27	1
"professional"	0.6	0.36	0.64	1
"provoking"	0.35	0.13	0.87	1
"satisfying"	0.84	0.71	0.29	1
"sophisticated"	0.71	0.5	0.5	1
"tasteful"	0.83	0.68	0.32	1
"wellDesigned"	0.76	0.58	0.42	1
