"terms"	"PA1"	"h2"	"u2"	"com"
"appealing"	0.85	17.29	0.28	1
"artistic"	0.52	17.29	0.73	1
"attractive"	0.84	17.29	0.29	1
"balanced"	0.69	17.29	0.52	1
"beautiful"	0.84	17.29	0.29	1
"clean"	0.73	17.29	0.47	1
"cluttered"	0.3	17.29	0.91	1
"colorHarmonious"	0.65	17.29	0.57	1
"creative"	0.53	17.29	0.72	1
"delightful"	0.86	17.29	0.27	1
"elegant"	0.83	17.29	0.3	1
"engaging"	0.79	17.29	0.38	1
"enjoyable"	0.87	17.29	0.24	1
"exciting"	0.79	17.29	0.38	1
"fascinating"	0.68	17.29	0.54	1
"harmonious"	0.79	17.29	0.38	1
"interesting"	0.7	17.29	0.51	1
"inviting"	0.83	17.29	0.31	1
"likable"	0.91	17.29	0.18	1
"lovely"	0.85	17.29	0.28	1
"motivating"	0.74	17.29	0.45	1
"nice"	0.9	17.29	0.18	1
"organized"	0.59	17.29	0.65	1
"pleasing"	0.85	17.29	0.28	1
"pretty"	0.85	17.29	0.28	1
"professional"	0.63	17.29	0.6	1
"provoking"	0.17	17.29	0.97	1
"satisfying"	0.77	17.29	0.4	1
"sophisticated"	0.68	17.29	0.53	1
"tasteful"	0.78	17.29	0.38	1
"wellDesigned"	0.76	17.29	0.42	1
