"terms"	"PA1"	"PA2"	"h2"	"u2"	"com"
"appealing"	0.58	0.34	19.29	0.25	1.62
"artistic"	0.84	-0.15	19.29	0.47	1.07
"attractive"	0.7	0.21	19.29	0.24	1.18
"balanced"	-0.06	0.84	19.29	0.36	1.01
"beautiful"	0.82	0.05	19.29	0.25	1.01
"clean"	-0.16	0.94	19.29	0.33	1.06
"cluttered"	-0.06	0.48	19.29	0.81	1.03
"colorHarmonious"	0.31	0.37	19.29	0.59	1.92
"creative"	0.83	-0.13	19.29	0.46	1.05
"delightful"	0.53	0.35	19.29	0.31	1.73
"elegant"	0.25	0.54	19.29	0.44	1.41
"engaging"	0.56	0.26	19.29	0.38	1.42
"enjoyable"	0.67	0.24	19.29	0.25	1.26
"exciting"	0.88	-0.03	19.29	0.26	1
"fascinating"	0.97	-0.25	19.29	0.36	1.13
"harmonious"	0.3	0.58	19.29	0.31	1.52
"interesting"	0.88	-0.09	19.29	0.34	1.02
"inviting"	0.34	0.54	19.29	0.31	1.69
"likable"	0.6	0.32	19.29	0.25	1.52
"lovely"	0.57	0.27	19.29	0.36	1.43
"motivating"	0.54	0.34	19.29	0.32	1.67
"nice"	0.53	0.4	19.29	0.24	1.86
"organized"	-0.31	1.07	19.29	0.27	1.17
"pleasing"	0.5	0.45	19.29	0.21	1.98
"pretty"	0.71	0.14	19.29	0.33	1.08
"professional"	-0.08	0.76	19.29	0.51	1.02
"provoking"	0.36	-0.07	19.29	0.9	1.07
"satisfying"	0.57	0.33	19.29	0.28	1.59
"sophisticated"	0.29	0.36	19.29	0.63	1.91
"tasteful"	0.38	0.44	19.29	0.41	1.95
"wellDesigned"	0.2	0.68	19.29	0.3	1.17
