"terms"	"PA1"	"PA2"	"h2"	"u2"	"com"
"appealing"	0.67	0.52	0.72	0.28	1.9
"artistic"	0.74	0.01	0.54	0.46	1
"attractive"	0.75	0.42	0.74	0.26	1.6
"balanced"	0.29	0.67	0.53	0.47	1.4
"beautiful"	0.69	0.36	0.6	0.4	1.5
"clean"	0.14	0.78	0.63	0.37	1.1
"cluttered"	0.22	0.37	0.18	0.82	1.6
"colorHarmonious"	0.3	0.32	0.19	0.81	2
"creative"	0.7	0.14	0.51	0.49	1.1
"delightful"	0.67	0.43	0.63	0.37	1.7
"elegant"	0.44	0.58	0.53	0.47	1.9
"engaging"	0.63	0.4	0.55	0.45	1.7
"enjoyable"	0.68	0.5	0.71	0.29	1.8
"exciting"	0.68	0.28	0.54	0.46	1.3
"fascinating"	0.69	0.3	0.56	0.44	1.4
"harmonious"	0.37	0.64	0.55	0.45	1.6
"interesting"	0.57	0.26	0.4	0.6	1.4
"inviting"	0.64	0.45	0.62	0.38	1.8
"likable"	0.67	0.51	0.71	0.29	1.9
"lovely"	0.65	0.38	0.56	0.44	1.6
"motivating"	0.62	0.43	0.57	0.43	1.8
"nice"	0.64	0.5	0.66	0.34	1.9
"organized"	0.18	0.71	0.53	0.47	1.1
"pleasing"	0.58	0.55	0.65	0.35	2
"pretty"	0.75	0.3	0.65	0.35	1.3
"professional"	0.05	0.73	0.54	0.46	1
"provoking"	0.35	0.08	0.13	0.87	1.1
"satisfying"	0.56	0.61	0.69	0.31	2
"sophisticated"	0.4	0.55	0.46	0.54	1.8
"tasteful"	0.54	0.61	0.66	0.34	2
"wellDesigned"	0.38	0.68	0.61	0.39	1.6
