"terms"	"PA1"	"PA2"	"h2"	"u2"	"com"
"appealing"	0.68	0.59	0.81	0.19	2
"artistic"	0.26	0.69	0.55	0.45	1.3
"attractive"	0.54	0.66	0.73	0.27	1.9
"balanced"	0.76	0.28	0.66	0.34	1.3
"beautiful"	0.54	0.65	0.71	0.29	1.9
"clean"	0.75	0.2	0.6	0.4	1.1
"cluttered"	0.24	0.09	0.07	0.93	1.2
"colorHarmonious"	0.49	0.41	0.41	0.59	1.9
"creative"	0.19	0.74	0.58	0.42	1.1
"delightful"	0.66	0.59	0.78	0.22	2
"elegant"	0.64	0.48	0.64	0.36	1.8
"engaging"	0.49	0.65	0.66	0.34	1.9
"enjoyable"	0.6	0.65	0.79	0.21	2
"exciting"	0.44	0.68	0.66	0.34	1.7
"fascinating"	0.28	0.74	0.62	0.38	1.3
"harmonious"	0.76	0.38	0.72	0.28	1.5
"interesting"	0.37	0.68	0.6	0.4	1.5
"inviting"	0.56	0.61	0.69	0.31	2
"likable"	0.63	0.63	0.79	0.21	2
"lovely"	0.58	0.58	0.68	0.32	2
"motivating"	0.48	0.61	0.6	0.4	1.9
"nice"	0.67	0.59	0.79	0.21	2
"organized"	0.83	0.1	0.69	0.31	1
"pleasing"	0.67	0.57	0.77	0.23	2
"pretty"	0.57	0.64	0.73	0.27	2
"professional"	0.66	0.18	0.47	0.53	1.1
"provoking"	-0.04	0.56	0.31	0.69	1
"satisfying"	0.68	0.51	0.72	0.28	1.9
"sophisticated"	0.45	0.55	0.51	0.49	1.9
"tasteful"	0.53	0.64	0.69	0.31	1.9
"wellDesigned"	0.72	0.36	0.64	0.36	1.5
