"terms"	"PA1"	"h2"	"u2"	"com"
"appealing"	0.8	14.42	0.36	1
"artistic"	0.49	14.42	0.76	1
"attractive"	0.78	14.42	0.4	1
"balanced"	0.63	14.42	0.61	1
"beautiful"	0.77	14.42	0.41	1
"clean"	0.7	14.42	0.52	1
"cluttered"	-0.33	14.42	0.89	1
"colorHarmonious"	0.59	14.42	0.65	1
"creative"	0.49	14.42	0.76	1
"delightful"	0.74	14.42	0.45	1
"elegant"	0.76	14.42	0.43	1
"engaging"	0.7	14.42	0.51	1
"enjoyable"	0.78	14.42	0.39	1
"exciting"	0.66	14.42	0.56	1
"fascinating"	0.64	14.42	0.59	1
"harmonious"	0.69	14.42	0.52	1
"interesting"	0.7	14.42	0.51	1
"inviting"	0.74	14.42	0.46	1
"likable"	0.79	14.42	0.38	1
"lovely"	0.75	14.42	0.44	1
"motivating"	0.65	14.42	0.58	1
"nice"	0.81	14.42	0.35	1
"organized"	0.61	14.42	0.62	1
"pleasing"	0.8	14.42	0.35	1
"pretty"	0.76	14.42	0.43	1
"professional"	0.67	14.42	0.55	1
"provoking"	0.2	14.42	0.96	1
"satisfying"	0.73	14.42	0.46	1
"sophisticated"	0.63	14.42	0.61	1
"tasteful"	0.64	14.42	0.59	1
"wellDesigned"	0.71	14.42	0.5	1
