"terms"	"PA1"	"h2"	"u2"	"com"
"appealing"	0.88	0.77	0.23	1
"artistic"	0.69	0.48	0.52	1
"attractive"	0.87	0.76	0.24	1
"balanced"	0.66	0.44	0.56	1
"beautiful"	0.85	0.73	0.27	1
"clean"	0.71	0.5	0.5	1
"cluttered"	-0.05	0	1	1
"colorHarmonious"	0.62	0.38	0.62	1
"creative"	0.64	0.41	0.59	1
"delightful"	0.88	0.77	0.23	1
"elegant"	0.8	0.65	0.35	1
"engaging"	0.77	0.59	0.41	1
"enjoyable"	0.88	0.77	0.23	1
"exciting"	0.77	0.59	0.41	1
"fascinating"	0.77	0.6	0.4	1
"harmonious"	0.8	0.64	0.36	1
"interesting"	0.73	0.53	0.47	1
"inviting"	0.78	0.6	0.4	1
"likable"	0.89	0.79	0.21	1
"lovely"	0.86	0.74	0.26	1
"motivating"	0.71	0.51	0.49	1
"nice"	0.82	0.67	0.33	1
"organized"	0.66	0.43	0.57	1
"pleasing"	0.88	0.78	0.22	1
"pretty"	0.85	0.72	0.28	1
"professional"	0.67	0.45	0.55	1
"provoking"	0.32	0.11	0.89	1
"satisfying"	0.87	0.76	0.24	1
"sophisticated"	0.75	0.56	0.44	1
"tasteful"	0.76	0.58	0.42	1
"wellDesigned"	0.81	0.66	0.34	1
