"terms"	"PA1"	"h2"	"u2"	"com"
"appealing"	0.85	0.73	0.27	1
"artistic"	0.64	0.42	0.58	1
"attractive"	0.85	0.71	0.29	1
"balanced"	0.74	0.54	0.46	1
"beautiful"	0.85	0.72	0.28	1
"clean"	0.71	0.5	0.5	1
"cluttered"	0.21	0.04	0.96	1
"colorHarmonious"	0.51	0.26	0.74	1
"creative"	0.65	0.42	0.58	1
"delightful"	0.86	0.74	0.26	1
"elegant"	0.76	0.57	0.43	1
"engaging"	0.79	0.63	0.37	1
"enjoyable"	0.85	0.73	0.27	1
"exciting"	0.82	0.67	0.33	1
"fascinating"	0.73	0.53	0.47	1
"harmonious"	0.77	0.6	0.4	1
"interesting"	0.7	0.49	0.51	1
"inviting"	0.83	0.7	0.3	1
"likable"	0.85	0.72	0.28	1
"lovely"	0.86	0.73	0.27	1
"motivating"	0.78	0.62	0.38	1
"nice"	0.84	0.71	0.29	1
"organized"	0.64	0.41	0.59	1
"pleasing"	0.87	0.76	0.24	1
"pretty"	0.84	0.7	0.3	1
"professional"	0.52	0.27	0.73	1
"provoking"	0.4	0.16	0.84	1
"satisfying"	0.86	0.73	0.27	1
"sophisticated"	0.63	0.4	0.6	1
"tasteful"	0.82	0.67	0.33	1
"wellDesigned"	0.76	0.57	0.43	1
