"terms"	"PA1"	"PA2"	"h2"	"u2"	"com"
"appealing"	0.62	0.51	0.64	0.36	1.9
"artistic"	0.54	0.16	0.32	0.68	1.2
"attractive"	0.74	0.39	0.7	0.3	1.5
"balanced"	0.18	0.73	0.56	0.44	1.1
"beautiful"	0.75	0.31	0.65	0.35	1.3
"clean"	0.34	0.7	0.6	0.4	1.4
"cluttered"	0.04	0	0	1	1
"colorHarmonious"	0.55	0.33	0.41	0.59	1.6
"creative"	0.67	0.09	0.45	0.55	1
"delightful"	0.69	0.39	0.63	0.37	1.6
"elegant"	0.57	0.42	0.5	0.5	1.8
"engaging"	0.47	0.62	0.6	0.4	1.9
"enjoyable"	0.62	0.56	0.69	0.31	2
"exciting"	0.6	0.41	0.53	0.47	1.8
"fascinating"	0.66	0.36	0.57	0.43	1.6
"harmonious"	0.5	0.58	0.59	0.41	2
"interesting"	0.68	0.3	0.56	0.44	1.4
"inviting"	0.4	0.62	0.55	0.45	1.7
"likable"	0.65	0.58	0.77	0.23	2
"lovely"	0.69	0.39	0.63	0.37	1.6
"motivating"	0.48	0.54	0.52	0.48	2
"nice"	0.57	0.57	0.65	0.35	2
"organized"	0.13	0.8	0.66	0.34	1
"pleasing"	0.63	0.55	0.7	0.3	2
"pretty"	0.75	0.32	0.67	0.33	1.4
"professional"	0.11	0.66	0.45	0.55	1.1
"provoking"	0.18	0.12	0.05	0.95	1.8
"satisfying"	0.59	0.49	0.59	0.41	1.9
"sophisticated"	0.42	0.46	0.39	0.61	2
"tasteful"	0.6	0.35	0.49	0.51	1.6
"wellDesigned"	0.24	0.74	0.61	0.39	1.2
