"terms"	"PA1"	"h2"	"u2"	"com"
"appealing"	0.85	0.72	0.28	1
"artistic"	0.56	0.32	0.68	1
"attractive"	0.84	0.71	0.29	1
"balanced"	0.65	0.42	0.58	1
"beautiful"	0.76	0.57	0.43	1
"clean"	0.6	0.36	0.64	1
"cluttered"	0.41	0.17	0.83	1
"colorHarmonious"	0.43	0.19	0.81	1
"creative"	0.62	0.39	0.61	1
"delightful"	0.79	0.62	0.38	1
"elegant"	0.71	0.5	0.5	1
"engaging"	0.74	0.54	0.46	1
"enjoyable"	0.84	0.71	0.29	1
"exciting"	0.7	0.49	0.51	1
"fascinating"	0.72	0.51	0.49	1
"harmonious"	0.69	0.48	0.52	1
"interesting"	0.61	0.37	0.63	1
"inviting"	0.78	0.61	0.39	1
"likable"	0.84	0.71	0.29	1
"lovely"	0.74	0.54	0.46	1
"motivating"	0.75	0.56	0.44	1
"nice"	0.81	0.66	0.34	1
"organized"	0.59	0.35	0.65	1
"pleasing"	0.8	0.65	0.35	1
"pretty"	0.76	0.58	0.42	1
"professional"	0.5	0.25	0.75	1
"provoking"	0.32	0.1	0.9	1
"satisfying"	0.82	0.68	0.32	1
"sophisticated"	0.66	0.43	0.57	1
"tasteful"	0.81	0.65	0.35	1
"wellDesigned"	0.73	0.53	0.47	1
