"terms"	"PA1"	"PA2"	"h2"	"u2"	"com"
"appealing"	0.57	0.4	0.81	0.19	1.8
"artistic"	-0.06	0.78	0.55	0.45	1
"attractive"	0.34	0.57	0.73	0.27	1.6
"balanced"	0.86	-0.07	0.66	0.34	1
"beautiful"	0.34	0.56	0.71	0.29	1.7
"clean"	0.9	-0.18	0.6	0.4	1.1
"cluttered"	0.28	-0.03	0.07	0.93	1
"colorHarmonious"	0.41	0.27	0.41	0.59	1.7
"creative"	-0.19	0.89	0.58	0.42	1.1
"delightful"	0.53	0.41	0.78	0.22	1.9
"elegant"	0.59	0.26	0.64	0.36	1.4
"engaging"	0.28	0.59	0.66	0.34	1.4
"enjoyable"	0.42	0.53	0.79	0.21	1.9
"exciting"	0.19	0.66	0.66	0.34	1.2
"fascinating"	-0.07	0.84	0.62	0.38	1
"harmonious"	0.79	0.07	0.72	0.28	1
"interesting"	0.08	0.71	0.6	0.4	1
"inviting"	0.4	0.49	0.69	0.31	1.9
"likable"	0.48	0.48	0.79	0.21	2
"lovely"	0.44	0.45	0.68	0.32	2
"motivating"	0.29	0.54	0.6	0.4	1.5
"nice"	0.55	0.41	0.79	0.21	1.9
"organized"	1.06	-0.36	0.69	0.31	1.2
"pleasing"	0.56	0.38	0.77	0.23	1.8
"pretty"	0.38	0.53	0.73	0.27	1.8
"professional"	0.79	-0.15	0.47	0.53	1.1
"provoking"	-0.4	0.79	0.31	0.69	1.5
"satisfying"	0.61	0.29	0.72	0.28	1.4
"sophisticated"	0.28	0.48	0.51	0.49	1.6
"tasteful"	0.34	0.55	0.69	0.31	1.7
"wellDesigned"	0.76	0.06	0.64	0.36	1
