"terms"	"PA1"	"PA2"	"h2"	"u2"	"com"
"appealing"	0.62	0.58	19.13	0.28	1.99
"artistic"	0.7	0.21	19.13	0.47	1.17
"attractive"	0.69	0.5	19.13	0.27	1.82
"balanced"	0.33	0.72	19.13	0.37	1.4
"beautiful"	0.64	0.55	19.13	0.28	1.96
"clean"	0.21	0.82	19.13	0.29	1.13
"cluttered"	0.05	0.25	19.13	0.94	1.09
"colorHarmonious"	0.41	0.31	19.13	0.74	1.86
"creative"	0.74	0.18	19.13	0.42	1.11
"delightful"	0.63	0.58	19.13	0.26	1.99
"elegant"	0.36	0.72	19.13	0.35	1.46
"engaging"	0.73	0.39	19.13	0.32	1.54
"enjoyable"	0.68	0.53	19.13	0.27	1.89
"exciting"	0.79	0.37	19.13	0.24	1.42
"fascinating"	0.73	0.29	19.13	0.38	1.31
"harmonious"	0.48	0.61	19.13	0.39	1.89
"interesting"	0.76	0.23	19.13	0.37	1.18
"inviting"	0.55	0.63	19.13	0.3	1.97
"likable"	0.61	0.59	19.13	0.28	2
"lovely"	0.62	0.58	19.13	0.27	1.99
"motivating"	0.55	0.56	19.13	0.39	2
"nice"	0.63	0.55	19.13	0.29	1.96
"organized"	0.17	0.75	19.13	0.4	1.1
"pleasing"	0.61	0.62	19.13	0.25	2
"pretty"	0.7	0.48	19.13	0.28	1.76
"professional"	0.11	0.65	19.13	0.57	1.06
"provoking"	0.55	0.01	19.13	0.7	1
"satisfying"	0.56	0.65	19.13	0.26	1.96
"sophisticated"	0.31	0.59	19.13	0.55	1.5
"tasteful"	0.56	0.6	19.13	0.33	1.99
"wellDesigned"	0.37	0.71	19.13	0.36	1.5
