"terms"	"PA1"	"PA2"	"h2"	"u2"	"com"
"appealing"	0.57	0.68	0.79	0.21	1.9
"artistic"	0.24	0.72	0.59	0.41	1.2
"attractive"	0.55	0.67	0.75	0.25	1.9
"balanced"	0.72	0.36	0.65	0.35	1.5
"beautiful"	0.54	0.63	0.69	0.31	2
"clean"	0.75	0.19	0.6	0.4	1.1
"cluttered"	0.47	0.15	0.24	0.76	1.2
"colorHarmonious"	0.5	0.36	0.38	0.62	1.8
"creative"	0.32	0.67	0.54	0.46	1.4
"delightful"	0.61	0.54	0.67	0.33	2
"elegant"	0.68	0.51	0.71	0.29	1.9
"engaging"	0.55	0.52	0.58	0.42	2
"enjoyable"	0.57	0.66	0.76	0.24	2
"exciting"	0.4	0.7	0.65	0.35	1.6
"fascinating"	0.32	0.63	0.5	0.5	1.5
"harmonious"	0.67	0.45	0.65	0.35	1.8
"interesting"	0.31	0.62	0.48	0.52	1.5
"inviting"	0.68	0.41	0.64	0.36	1.6
"likable"	0.6	0.61	0.74	0.26	2
"lovely"	0.65	0.5	0.66	0.34	1.9
"motivating"	0.6	0.49	0.6	0.4	1.9
"nice"	0.66	0.54	0.72	0.28	1.9
"organized"	0.78	0.13	0.62	0.38	1.1
"pleasing"	0.63	0.61	0.77	0.23	2
"pretty"	0.47	0.68	0.68	0.32	1.8
"professional"	0.62	0.24	0.43	0.57	1.3
"provoking"	0	0.41	0.17	0.83	1
"satisfying"	0.6	0.6	0.72	0.28	2
"sophisticated"	0.54	0.34	0.41	0.59	1.7
"tasteful"	0.62	0.51	0.64	0.36	1.9
"wellDesigned"	0.74	0.29	0.63	0.37	1.3
