"terms"	"PA1"	"PA2"	"h2"	"u2"	"com"
"appealing"	0.47	0.44	0.72	0.28	2
"artistic"	-0.13	0.72	0.4	0.6	1.1
"attractive"	0.46	0.45	0.71	0.29	2
"balanced"	0.94	-0.22	0.63	0.37	1.1
"beautiful"	0.46	0.45	0.71	0.29	2
"clean"	0.95	-0.19	0.67	0.33	1.1
"cluttered"	0.44	-0.13	0.13	0.87	1.2
"colorHarmonious"	0.47	0.23	0.43	0.57	1.4
"creative"	-0.12	0.73	0.42	0.58	1.1
"delightful"	0.53	0.38	0.73	0.27	1.8
"elegant"	0.64	0.25	0.7	0.3	1.3
"engaging"	0.46	0.39	0.62	0.38	2
"enjoyable"	0.46	0.49	0.77	0.23	2
"exciting"	0.24	0.63	0.67	0.33	1.3
"fascinating"	0.01	0.74	0.57	0.43	1
"harmonious"	0.68	0.15	0.64	0.36	1.1
"interesting"	-0.06	0.85	0.66	0.34	1
"inviting"	0.63	0.25	0.7	0.3	1.3
"likable"	0.53	0.44	0.82	0.18	1.9
"lovely"	0.51	0.39	0.71	0.29	1.9
"motivating"	0.56	0.23	0.55	0.45	1.3
"nice"	0.58	0.39	0.82	0.18	1.8
"organized"	0.93	-0.32	0.53	0.47	1.2
"pleasing"	0.47	0.45	0.72	0.28	2
"pretty"	0.45	0.46	0.72	0.28	2
"professional"	0.78	-0.12	0.48	0.52	1
"provoking"	-0.17	0.37	0.07	0.93	1.4
"satisfying"	0.41	0.42	0.6	0.4	2
"sophisticated"	0.49	0.24	0.47	0.53	1.4
"tasteful"	0.53	0.31	0.61	0.39	1.6
"wellDesigned"	0.71	0.09	0.61	0.39	1
