"terms"	"PA1"	"PA2"	"h2"	"u2"	"com"
"appealing"	0.61	0.52	0.64	0.36	2
"artistic"	0.06	0.68	0.47	0.53	1
"attractive"	0.57	0.52	0.6	0.4	2
"balanced"	0.73	0.14	0.55	0.45	1.1
"beautiful"	0.46	0.64	0.61	0.39	1.8
"clean"	0.77	0.19	0.63	0.37	1.1
"cluttered"	-0.46	0.02	0.21	0.79	1
"colorHarmonious"	0.67	0.14	0.47	0.53	1.1
"creative"	0.07	0.67	0.45	0.55	1
"delightful"	0.41	0.66	0.61	0.39	1.6
"elegant"	0.51	0.56	0.58	0.42	2
"engaging"	0.4	0.6	0.52	0.48	1.8
"enjoyable"	0.58	0.51	0.61	0.39	2
"exciting"	0.2	0.79	0.66	0.34	1.1
"fascinating"	0.21	0.74	0.59	0.41	1.2
"harmonious"	0.68	0.28	0.54	0.46	1.3
"interesting"	0.48	0.52	0.5	0.5	2
"inviting"	0.41	0.65	0.59	0.41	1.7
"likable"	0.72	0.38	0.66	0.34	1.5
"lovely"	0.47	0.59	0.58	0.42	1.9
"motivating"	0.27	0.69	0.54	0.46	1.3
"nice"	0.75	0.37	0.7	0.3	1.5
"organized"	0.79	0.05	0.63	0.37	1
"pleasing"	0.67	0.46	0.65	0.35	1.8
"pretty"	0.53	0.54	0.57	0.43	2
"professional"	0.75	0.17	0.6	0.4	1.1
"provoking"	-0.06	0.37	0.14	0.86	1
"satisfying"	0.61	0.42	0.55	0.45	1.8
"sophisticated"	0.3	0.6	0.45	0.55	1.5
"tasteful"	0.58	0.32	0.43	0.57	1.6
"wellDesigned"	0.68	0.3	0.55	0.45	1.4
