vis15[appealing],vis15[artistic],vis15[attractive],vis15[balanced],vis15[beautiful],vis15[clean],vis15[cluttered],vis15[colorHarmonious],vis15[creative],vis15[delightful],vis15[elegant],vis15[engaging],vis15[enjoyable],vis15[exciting],vis15[fascinating],vis15[harmonious],vis15[interesting],vis15[inviting],vis15[likable],vis15[lovely],vis15[motivating],vis15[nice],vis15[organized],vis15[pleasing],vis15[pretty],vis15[professional],vis15[provoking],vis15[satisfying],vis15[sophisticated],vis15[tasteful],vis15[wellDesigned]
4.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,6.0,4.0,4.0,6.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,6.0,4.0,5.0,5.0
3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,5.0
2.0,3.0,3.0,2.0,2.0,1.0,3.0,5.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,1.0
1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0
3.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,5.0,4.0,6.0,5.0,2.0,4.0,4.0,2.0,6.0,4.0,2.0,2.0,2.0,4.0,2.0,5.0,5.0,6.0,3.0,2.0,5.0,3.0,5.0
4.0,5.0,4.0,5.0,4.0,4.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,6.0,4.0,4.0,5.0,4.0,5.0
3.0,4.0,3.0,2.0,2.0,3.0,3.0,4.0,5.0,3.0,1.0,2.0,4.0,5.0,3.0,2.0,5.0,5.0,3.0,2.0,4.0,2.0,4.0,2.0,4.0,3.0,3.0,4.0,2.0,4.0,5.0
4.0,5.0,5.0,3.0,4.0,3.0,4.0,3.0,5.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,5.0,3.0,3.0,2.0,4.0,3.0,2.0,4.0,3.0,4.0,5.0,3.0,6.0,3.0,4.0
3.0,5.0,3.0,3.0,3.0,2.0,1.0,3.0,5.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,5.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,3.0
1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0
